column_name,column_value,standard_name
Unnamed: 1,Наименование работ и затрат,Наименование работ и затрат
Unnamed: 4,Ед. измерен.,Единица измерения
Unnamed: 6,Кол-во,Количество
Unnamed: 7,Обоснование стоимости,Обоснование
Unnamed: 1,Обоснование,Обоснование
Unnamed: 2,Наименование работ и затрат,Наименование работ и затрат
Unnamed: 6,Количество,Количество
Приложение № 2,Единица измерения,Единица измерения
Unnamed: 1,Обоснование,Обоснование
Unnamed: 2,Наименование работ и затрат,Наименование работ и затрат
Unnamed: 6,Количество,Количество
Приложение № 2,Единица измерения,Единица измерения
Unnamed: 1,Обоснование,Обоснование
Unnamed: 2,Наименование работ и затрат,Наименование работ и затрат
Unnamed: 6,Количество,Количество
Приложение № 2,Единица измерения,Единица измерения
Unnamed: 1,Обоснование,Обоснование
Unnamed: 2,Наименование работ и затрат,Наименование работ и затрат
Unnamed: 6,Количество,Количество
Приложение № 2,Единица измерения,Единица измерения
Unnamed: 1,Обоснование,Обоснование
Unnamed: 2,Наименование работ и затрат,Наименование работ и затрат
Unnamed: 6,Количество,Количество
Приложение № 2,Единица измерения,Единица измерения
Unnamed: 1,Обоснование,Обоснование
Unnamed: 2,Наименование работ и затрат,Наименование работ и затрат
Unnamed: 6,Количество,Количество
Приложение № 2,Единица измерения,Единица измерения
Unnamed: 1,Обоснование,Обоснование
Unnamed: 2,Наименование работ и затрат,Наименование работ и затрат
Unnamed: 6,Количество,Количество
Приложение № 2,Единица измерения,Единица измерения
Unnamed: 1,Обоснование,Обоснование
Unnamed: 2,Наименование работ и затрат,Наименование работ и затрат
Unnamed: 6,Количество,Количество
Приложение № 2,Единица измерения,Единица измерения
Unnamed: 1,Обоснование,Обоснование
Unnamed: 2,Наименование работ и затрат,Наименование работ и затрат
Unnamed: 6,Количество,Количество
Приложение № 2,Единица измерения,Единица измерения
Unnamed: 1,Обоснование,Обоснование
Unnamed: 2,Наименование работ и затрат,Наименование работ и затрат
Unnamed: 6,Количество,Количество
Приложение № 2,Единица измерения,Единица измерения
Unnamed: 1,Обоснование,Обоснование
Unnamed: 2,Наименование работ и затрат,Наименование работ и затрат
Unnamed: 6,Количество,Количество
Приложение № 2,Единица измерения,Единица измерения
Unnamed: 1,Обоснование,Обоснование
Unnamed: 2,Наименование работ и затрат,Наименование работ и затрат
Unnamed: 6,Количество,Количество
Приложение № 2,Единица измерения,Единица измерения
Unnamed: 1,Обоснование,Обоснование
Unnamed: 2,Наименование работ и затрат,Наименование работ и затрат
Unnamed: 6,Количество,Количество
Приложение № 2,Единица измерения,Единица измерения
Unnamed: 1,Обоснование,Обоснование
Unnamed: 2,Наименование работ и затрат,Наименование работ и затрат
Unnamed: 6,Количество,Количество
Приложение № 2,Единица измерения,Единица измерения
